# Manuelle korrigeringer fra Sindre (fasit) — oppdragsnr;signert;solgt;salgssum
# Tomt felt = ikke overstyr. Kilde: gjennomgang 7.–11. juli 2026.
24006;2024-03-21;2024-05-14;
24011;2024-04-22;2024-06-20;
25029;2025-04-23;2025-05-10;
24009;2024-04-11;2024-05-14;
25045;2025-06-13;2025-06-21;
24048;;2024-10-15;835000
