24009;414213414
24012;349126419
24018;351949436
24026;354378511
24029;355862885
24030;356660097
24033;357045493
24035;359430510
24039;359584923
24044;356905807
25001;399126303
25007;408481527
25008;426711356
25016;402905720
25017;402159737
25019;ingen
25023;ingen
25026;406500254
25031;407533450
25036;409058218
25042;411321292
25045;ingen
25051;418004590
25057;417733631
25059;ingen
25073;424396137
25076;429596993
26001;ingen
26007;ingen
26020;ingen
26023;ingen
26049;465837427
26054;ingen
26061;469051683
26062;469003382
26063;ingen
26065;468771895
24006;357464397
24011;361411812
24015;460791865
24015;412222028
24015;353279937
24022;356486413
24032;355863906
24032;360394778
24045;363126495
24047;364262571
24056;361411812
24061;369193308
25004;402355143
25005;414057110
25005;403247167
25009;403081687
25010;398427080
25010;404595185
25010;412322618
25012;397834501
25012;404506629
25012;407773129
25020;401773858
25020;406543909
25025;407517760
25029;ingen
25055;414494894
25062;421691002
25078;413066759
25080;426364108
25083;429581975
25084;429403492
25087;ingen
25091;401222113
25091;429763768
26002;453785927
26009;ingen
26025;461631110
26028;461876176
26030;462422146
