finnkode;type;dato;verdi
462422146;PRICE_REDUCED;2026-05-22;749000
464230659;BUMP;2026-05-20;
412222028;BUMP;2025-06-11;
412222028;BUMP;2026-03-04;
463514894;BUMP;2026-05-13;
450417966;BUMP;2026-03-15;
461631110;BUMP;2026-04-28;
438107098;BUMP;2025-11-20;
344830447;BUMP;2025-03-12;
462858901;BUMP;2026-05-08;
414494894;BUMP;2025-06-27;
414494894;BUMP;2026-03-06;
442884965;BUMP;2025-12-22;
452637147;BUMP;2026-02-25;
453796386;BUMP;2026-03-04;
430069542;BUMP;2025-10-03;
430069542;BUMP;2026-04-10;
434759926;BUMP;2025-10-30;
434759926;PRICE_RAISED;2026-04-21;930000
414445002;BUMP;2025-06-27;
414445002;PRICE_REDUCED;2025-08-27;520000
414445002;PRICE_REDUCED;2025-09-22;475000
414445002;BUMP;2026-04-20;
437773498;BUMP;2025-11-19;
426364108;BUMP;2025-09-11;
438067333;BUMP;2025-11-20;
431865157;BUMP;2025-10-13;
431865157;PRICE_REDUCED;2026-04-20;8950000
431865157;BUMP;2026-04-20;
453785927;BUMP;2026-03-04;
450311073;BUMP;2026-02-10;
446092413;BUMP;2026-01-15;
449190899;BUMP;2026-02-03;
456945578;BUMP;2026-03-23;
448547059;BUMP;2026-02-03;
436021051;BUMP;2025-11-07;
406294355;BUMP;2025-05-04;
406294355;PRICE_REDUCED;2026-03-04;2499000
406294355;BUMP;2026-03-04;
429581975;BUMP;2025-09-30;
429581975;PRICE_RAISED;2025-10-02;1590000
429581975;BUMP;2026-04-10;
423937811;BUMP;2025-08-26;
423937811;PRICE_REDUCED;2025-10-08;1420000
423937811;BUMP;2026-02-23;
441457432;BUMP;2025-12-11;
422513924;BUMP;2025-09-10;
426240045;BUMP;2025-09-10;
426240939;BUMP;2025-09-10;
426239168;BUMP;2025-09-10;
425556075;BUMP;2025-09-05;
435829929;BUMP;2025-11-07;
435829929;PRICE_REDUCED;2025-12-01;969000
429763768;BUMP;2025-10-01;
432179917;BUMP;2025-10-16;
399126303;BUMP;2025-03-24;
399126303;PRICE_REDUCED;2025-10-06;3000000
399126303;BUMP;2025-10-06;
425275959;BUMP;2025-09-03;
433806038;BUMP;2025-10-25;
426240641;BUMP;2025-09-10;
426240641;PRICE_REDUCED;2025-10-20;700000
415892751;BUMP;2025-07-09;
417733631;BUMP;2025-07-22;
417733631;PRICE_REDUCED;2025-10-13;1070000
429596993;BUMP;2025-09-30;
429596993;PRICE_REDUCED;2025-11-21;1389000
421509423;BUMP;2025-08-29;
421509423;PRICE_REDUCED;2025-10-08;2000000
421509423;PRICE_REDUCED;2025-11-04;1950000
437115161;BUMP;2025-11-14;
408454142;BUMP;2025-05-20;
