463362454;PUBLISHED;2026-05-12;Cormate T27;2015;1120000;Cormate T27 - 2015 - Mercruiser TDI 4,2l V8 370 HK - Full se
461876176;SOLD;2026-04-30;Goldfish 23 Tender;2019;790000;NY PRIS: Goldfish 23 Tender - 2019 - Mercury 225 - Kun én ei
462841249;SOLD;2026-05-08;Goldfish 38 SuperSport;2019;2399000;Goldfish 38 SuperSport – Build no. 023 – Twin 430 HK - Kun c
460791865;SOLD;2026-04-21;Nimbus W9 T-Top;2020;1390000;Nimbus W9 - 2020 - Mercury V8 300 HK - Elektrisk T-Top - God
465411193;SOLD;2026-05-30;Goldfish 30 Sport;2021;1749000;Goldfish 30 Sport - 2021 - Nydelig spec - Flexiteek - ca. 20
465837427;PUBLISHED;2026-06-03;Cormate T28;2025;2326900;Cormate T28 - 2025 - Mercruiser 6,2L V8 350 hk - Godt utstyr
428888135;PUBLISHED;2025-09-29;Storebro 430 Biscay Royal Cruiser;1997;2049000;Storebro 430 Biscay
458133784;PUBLISHED;2026-04-01;Bavaria 36 AC;2002;575000;Bavaria 36 AC - nyere seil - ny pris!
415726539;PUBLISHED;2025-07-06;Hanse 548;2019;7190000;Hanse 548 – kun seilt i Skandinavia
415929027;SOLD;2025-07-07;Hydrolift C-27;2009;910000;Hydrolift C-27 - Volvo Penta D6 - 370HK - Ny Cabriolet - Kun
354903797;PUBLISHED;2025-06-17;Andre undefined;1914;399000;Anker & Jensen 8mR - Carmen IV - bud er velkomne
356539525;PUBLISHED;2025-05-06;Riva Dolceriva 48;2022;16900000;UTSØKT: Riva Dolceriva 48 - 2022 - 2000 HK - Gyrostabilisato
465306772;PUBLISHED;2026-05-29;Cormate T27;2015;1275000;Cormate T27 - 2015 - Mercruiser 6,2L V8 350 HK - Nye manifol
462907080;SOLD;2026-05-08;Windy 27 Solano;2019;1490000;Windy 27 Solano - Volvo Penta V8 350 Bensin - Godt utstyrt!
465301930;PUBLISHED;2026-05-29;Cormate Chase 34;2021;2750000;Cormate Chase 34 - 2021 - 2 x Mercury 450R - Skipsreg/Finans
460791777;HIDDEN;2026-04-21;Nimbus 300R;2005;930000;Kommer for salg: Nimbus 300R - 2005 - D6-350HK - Oppgradert
462745693;PUBLISHED;2026-05-07;Axopar 37 Sun-top - Aftcabin;2018;1990000;Ny pris - Axopar 37 Sun-Top - 2 x Yamaha 300 hk (2023) - Mot
462422146;SOLD;2026-05-05;Cormate SU23;2016;749000;Cormate Super Utility 23 - Én eier - 154t
465067366;PUBLISHED;2026-05-27;Sea Ray 355 Sundancer;2005;890000;Sea Ray 355 Sundancer - Finans mulig!
412222028;DELETED;2025-06-11;Nimbus W9 T-Top;2020;1490000;Nimbus W9 - 2020 - Mercury V8 300 HK - Elektrisk T-Top - God
