367863473;EXPIRED;2024-08-30;BRIG undefined;2022;1049000;BRIG Eagle 8 / Topp utstyrt / Hypalon carbon tubes
362543884;EXPIRED;2024-07-25;Sealine undefined;2007;1890000;Bud innkommet / Sealine SC39 / Topputstyrt / 2 stk. Volvo Pe
364262571;SOLD;2024-08-09;Fairline undefined;2000;1999000;Høstpris / Fairline Phantom 43 / Flybridge / Flott blåfarget
359430510;SOLD;2024-07-01;Cruisers undefined;2007;1500000;Ny pris! Cruisers 395 Motoryacht / Nylig motor-vedlikehold f
354378511;SOLD;2024-05-25;Wally undefined;2007;4862500;NY PRIS: Wally 45 Tender - Betydelig oppgradert - Kan kjøpes
366616788;SOLD;2024-08-21;Andre undefined;2022;6970000;Nautitech 40 Open / Owners version / Middelhavsdrømmen
356660097;EXPIRED;2024-06-11;Goldfish undefined;2004;579000;Goldfish 25 Rib - frieksos m/silent choice - ny propell - Fu
358040450;EXPIRED;2024-06-28;Cranchi undefined;2006;2590000;Vinteropplag inkludert! Cranchi Mediterrane 47 - 2x Volvo Pe
365803624;SOLD;2024-08-15;Goldfish undefined;2023;1950000;Ny pris: Goldfish 30 Sport - 2023 - 100 timer!
364081232;SOLD;2024-08-04;Goldfish 50 Ocean;2013;5900000;Goldfish 50 Ocean - Opp mot 60 knop!
364229956;SOLD;2024-08-09;Grandezza undefined;2019;1300000;Betydlig redusert pris! Grandezza 28 OC / Fullspekket med ut
369899516;EXPIRED;2024-09-13;Goldfish 30 Sport T-Top;2023;2300000;Goldfish 30 Sport - 2023 - Svært godt utstyrt - T-Top - Kun
357192444;EXPIRED;2024-06-27;Bavaria undefined;2005;680000;Ny pris før opplag: Bavaria 38Cr - 3 lugarer - rulleseil!
369193308;SOLD;2024-09-09;Cormate undefined;2022;849000;SOLGT! Cormate SU23 / V8 350HK Bravo 1 / Kun 65 timer
349126419;SOLD;2024-05-24;Sweden Yachts C41R;1982;450000;Sardinia: Sweden Yachts C41R: Performance utgave - #C510 - N
354656944;SOLD;2024-05-28;Hanse 445;2012;2100000;Hanse 445: Allrounderen - vunnet Færderseilasen - kan omgjør
361275699;EXPIRED;2024-07-15;Technohull undefined;2023;2790000;Technohull GTX 36 / Godt utstyrt / 2x300 Mercury Verado / Un
364610996;SOLD;2024-08-08;Goldfish 23 Tender MKIII;2020;970000;Goldfish 23 Tender MKIII - 2020 - Godt utstyrt - 55 knop!
356486413;SOLD;2024-06-10;Goldfish undefined;2022;1740000;Goldfish 28 Tender - 2 x 300 Mercury - 2022 modell - 70 Knop
364721148;EXPIRED;2024-08-09;Wauquiez Centurion 42;1987;790000;En nydelig klassiker: Wauquiez 42 #29: Racer/Cruiser!
363126495;SOLD;2024-07-29;Cormate undefined;2018;749000;Bud innkommet! Cormate SU23 - Ocean Green / VAG Diesel / Ser
361411812;EXPIRED;2024-07-16;Goldfish undefined;2016;2250000;Goldfish 38 Supersport - 2016 - Diesel - Carbon build - Bety
357464397;EXPIRED;2024-06-16;Goldfish undefined;2022;2260000;Goldfish 30 Sport - Mercury 8.2 MAG 430 - Få timer - Nydelig
366092823;EXPIRED;2024-08-19;Nimbus undefined;2006;950000;Nimbus 300R - 2006 modell - D6-350HK - Velutstyrt!
357847408;EXPIRED;2024-06-19;Axopar undefined;2023;2990000;Axopar 37 XC - Brabus line - 50 timer - Ekstrautstyr for 1.m
360394778;SOLD;2024-07-08;Beneteau Gran Turismo 38;2012;1890000;BUD INNKOMMET: Beneteau 38 GT - Svært velholdt - Joystick -
360181546;SOLD;2024-07-06;Ibiza undefined;2012;330000;Ibiza 25 Sport Cabin - Tøff familieracer like under 50 knop
357816189;SOLD;2024-06-18;Marex undefined;2021;3990000;SOMMERKUPP: Marex 360 CC - 2021 - Toppspekket - Skipsreg/Fin
352677627;SOLD;2024-05-13;Windy undefined;2008;990000;BUD INNKOMMET: Windy 28 Ghibli - Volvo 5,7 GXI - Svært oppgr
355093285;EXPIRED;2024-05-31;Goldfish undefined;2021;2140000;Goldfish 30 Sport - 2021 - Nydelig spec - Flexiteek - 125 ti
356905807;SOLD;2024-06-12;Capelli undefined;2008;495000;KUPP: Capelli Tempest 900 WA - 2008 - Godt utstyrt - Velhold
355863906;EXPIRED;2024-06-06;Beneteau Gran Turismo 38;2012;1990000;Beneteau Gran Turismo 38 - Svært velholdt - Joystick - Skips
355905739;SOLD;2024-06-11;Nimbus undefined;2005;1290000;Når du vet hva du vil ha: Nimbus 380 Commander - Velholdt -
355037478;SOLD;2024-05-31;Fjord Terne undefined;2001;770000;BUD MOTTAS: Fjord Terne 28 - Svært pen - Yanmar 222 HK - God
357915566;SOLD;2024-06-19;Cormate SU23;2021;890000;NY PRIS: Cormate SU23 - 2021 - Meget godt utstyrt - 60 knop
356774196;SOLD;2024-06-12;Najad 343;1985;670000;Eleganse med gode sjøegenskaper: Najad 343- master lugar - n
353205618;EXPIRED;2024-05-16;Cormate undefined;2021;940000;Cormate SU23 - 2021 - Meget godt utstyrt - 60 knop - Kun 70
354903806;EXPIRED;2024-05-29;Andre undefined;1914;549000;Anker & Jensen 8mR Carmen IV - H45- Cruiser/ Racer - Klasset
353304563;SOLD;2024-05-16;Goldfish 28 Tender;2020;1590000;Goldfish 28 Tender - 2 x Mercury 450R - 80 knop - 2020 model
351849026;SOLD;2024-05-18;Fairline undefined;1999;1390000;Fairline Targa 43: Stil - Ytelse og comfort - Godt utstyrt -
354263499;EXPIRED;2024-05-24;Elan undefined;2021;5800000;For deg som ønsker deg litt videre: "Leap of faith" Elan GT
351949436;EXPIRED;2024-05-15;Jeanneau undefined;1994;370000;Jeanneau Sun Fast 36: Tilstandsrapport - nytt storseil!
