# ----------------------------------------
# Sider og skjermer: Sidebane og skjermklasse
# Konto: House of Yachts
# Område: House of Yachts - GA4
# ----------------------------------------
# 
# Alle brukere
# Startdato: 20250101
# Sluttdato: 20260418
Sidebane og skjermklasse,Visninger,Aktive brukere,Visninger per aktive bruker,Gjennomsnittlig engasjementstid per aktive bruker,Antall hendelser,Viktige hendelser,Totale inntekter
/en/Baater/skorgenes-sonic-445-fly,151,77,1.9610389610389611,42.857142857142854,428,0,0
/Baater/seaside-23,150,79,1.8987341772151898,88.0379746835443,320,0,0
/en/Baater/goldfish-50-ocean,149,118,1.2627118644067796,27.466101694915253,507,0,0
/Baater/hydrolift-c-27,148,119,1.2436974789915967,35.67226890756302,338,1,0
/Baater/delphia-40.3,147,86,1.7093023255813953,79.51162790697674,293,0,0
/Baater/storebro-430-biscay,145,93,1.5591397849462365,61.58064516129032,246,1,0
/Baater/nordkapp-905-grand-coupe,144,103,1.3980582524271845,50.79611650485437,283,0,0
/Baater/beneteau-swift-trawler-34,141,98,1.4387755102040816,60.51020408163265,477,0,0
/Baater/nimbus-35-nova-ht-,139,104,1.3365384615384615,35.85576923076923,470,0,0
/Baater/hydrolift-s24-diablo,138,95,1.4526315789473685,27.894736842105264,374,1,0
/Baater/askeladden-c80-cruiser,137,119,1.1512605042016806,12.109243697478991,355,0,0
/Baater/goldfish-30-sport---2021-,137,93,1.4731182795698925,47.215053763440864,219,0,0
/Baater/goldfish-30-sport-,135,73,1.8493150684931507,49.136986301369866,224,0,0
/Baater/hanse-548,132,112,1.1785714285714286,43.660714285714285,217,0,0
/Baater/goldfish-30-sport,131,97,1.3505154639175259,23.329896907216494,321,0,0
/Baater/axopar-25-cross-bow,130,64,2.03125,45.109375,305,0,0
/Baater/arctic-blue-27-mkii,126,96,1.3125,30.645833333333332,410,0,0
/Baater/nimbus-t9,122,83,1.4698795180722892,33.33734939759036,235,0,0
/Baater/skorgenes-350-fly,122,54,2.259259259259259,92.05555555555556,224,0,0
/Baater/nordic-ocean-craft-catamaran,121,81,1.4938271604938271,59.58024691358025,379,1,0
/Baater/fairline-targa-37,119,89,1.3370786516853932,48.258426966292134,275,0,0
/Baater/jeanneau-sun-odyssey-36i,119,87,1.367816091954023,45.57471264367816,306,0,0
/Baater/princess-25m,119,64,1.859375,69.421875,341,0,0
/Baater/windy-35-khamsin,117,97,1.2061855670103092,32.144329896907216,394,2,0
/post/ledig-stilling-youtube-ansvarlig-innholdsprodusent,117,105,1.1142857142857143,19.8,175,0,0
/bater-til-salgs,116,104,1.1153846153846154,2,191,0,0
/Baater/nimbus-w9,113,66,1.7121212121212122,61.57575757575758,250,0,0
/Baater/fjord-40-open---2007,112,97,1.1546391752577319,29.061855670103093,188,0,0
/post/nidelv-725-sport-for-salg,109,84,1.2976190476190477,6.690476190476191,350,0,0
/Baater/baltic-kragerø-34,108,85,1.2705882352941176,34.98823529411764,168,0,0
/Baater/bavaria-s36-ht,108,90,1.2,38.766666666666666,245,1,0
/Baater/goldfish-38-supersport---,108,79,1.3670886075949367,34.31645569620253,241,0,0
