wix_title,wix_url,wix_year,wix_updated,orig_status,deal_match,n_exact,n_loose,candidates
Beneteau Figaro 2,beneteau-figaro-2,2003,2022-06-08,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351443310800 name=""Beneteau Figaro 2"" path=beneteau-figaro-2 year=None status=None #deals=1"
Nordkapp 905 Grand Coupe,nordkapp-905-grand-coupe,2021,2025-08-26,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,1,"EXACT id=351443262703 name=""Nordkapp 905 Grand Coupe"" path=nordkapp-905-grand-coupe-2 year=2021 status=None #deals=1 ||| LOOSE id=351446935756 name=""Nordkapp 905 Gran Coupe"" path=nordkapp-905-gran-coupe year=2020 status=None #deals=1"
Marex 375,marex-375,2021,2023-04-16,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351482888417 name=""Marex 375"" path=marex-375 year=None status=None #deals=1"
Goldfish 28 Bullet #020,goldfish-28-bullet-%23020,2020,2025-06-18,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,2,"LOOSE id=351475307767 name=""Goldfish 28 Bullet"" path=goldfish-28-bullet year=2023 status=None #deals=1 ||| LOOSE id=351443090620 name=""Goldfish 28 Bullet"" path=goldfish-28-bullet-3 year=2020 status=None #deals=1"
Goldfish 29 Sport,goldfish-29-sport,2018,2020-06-05,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,3,0,"EXACT id=351443213561 name=""Goldfish 29 Sport"" path=goldfish-29-sport year=None status=None #deals=1 ||| EXACT id=351443201214 name=""Goldfish 29 Sport"" path=goldfish-29-sport-2 year=None status=None #deals=1 ||| EXACT id=351459866843 name=""Goldfish 29 Sport"" path=goldfish-29-sport-3 year=None status=None #deals=1"
Nimbus 230 R,nimbus-230-r,2003,2019-07-18,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Nordkapp Airborne 7,nordkapp-airborne-7,2021,2023-04-16,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Goldfish 28 Tender Merc 400R,goldfish-28-tender-merc-400r,2017,2025-05-20,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,7,"LOOSE id=351443141853 name=""Goldfish 28 Tender"" path=goldfish-28-tender year=None status=None #deals=1 ||| LOOSE id=351482888432 name=""Goldfish 28 Tender"" path=goldfish-28-tender-2 year=None status=None #deals=1 ||| LOOSE id=351482888440 name=""Goldfish 28 Tender"" path=goldfish-28-tender-3 year= status=None #deals=1 ||| LOOSE id=351456244951 name=""Goldfish 28 Tender"" path=goldfish-28-tender-4 year=2022 status=for-sale #deals=2"
Nimbus 300R - 2005 modell,nimbus-300r---2005-modell,2005,2022-06-08,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,11,"LOOSE id=351443213549 name=""Nimbus 300R"" path=nimbus-300r-2 year=None status=None #deals=1 ||| LOOSE id=351443213554 name=""Nimbus 300R"" path=nimbus-300r-3 year=None status=None #deals=1 ||| LOOSE id=351443213556 name=""Nimbus 300R"" path=nimbus-300r year=None status=None #deals=1 ||| LOOSE id=351388463321 name=""Nimbus 300R"" path=nimbus-300r-5 year=None status=None #deals=1"
Hanse 355,hanse-355,2011,2021-06-30,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351443141855 name=""Hanse 355"" path=hanse-355 year= status=None #deals=1"
Nimbus 300R,nimbus-300r,2005,2020-02-03,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,11,0,"EXACT id=351443213549 name=""Nimbus 300R"" path=nimbus-300r-2 year=None status=None #deals=1 ||| EXACT id=351443213554 name=""Nimbus 300R"" path=nimbus-300r-3 year=None status=None #deals=1 ||| EXACT id=351443213556 name=""Nimbus 300R"" path=nimbus-300r year=None status=None #deals=1 ||| EXACT id=351388463321 name=""Nimbus 300R"" path=nimbus-300r-5 year=None status=None #deals=1 ||| EXACT id=351388463329 name=""Nimbus 300R"" path=nimbus-300r-4 year=None status=None #deals=1 ||| EXACT id=351414280420 name=""Nimbus 300R"" path=nimbus-300r-6 year=None status=None #deals=1 ||| EXACT id=351482888430 name=""Nimbus 300R"" path=nimbus-300r-7 year=None status=None #deals=1 ||| EXACT id=351443310787 name=""Nimbus 300R"" path=nimbus-300r-8 year=None status=None #deals=1 ||| EXACT id=351459866835 name=""Nimbus 300R "" path=nimbus-300r-9 year=2005 status=sold #deals=2 ||| EXACT id=351459866838 name=""Nimbus 300R"" path=nimbus-300r-10 year=None status=None #deals=2 ||| EXACT id=351479119065 name=""Nimbus 300R"" path=nimbus-300r-11 year=2006 status=None #deals=1"
