wix-to-hubspot-match-report
Keep;wix_title;wix_url;wix_merke;wix_modell;wix_year;wix_length_ft;wix_sold;wix_updated;match_status;slug_matches;signature_matches;match_details
X;Nimbus 33 Nova;nimbus-33-nova;Nimbus;33 Nova;2003;33 fot;sold;2020-05-20;EXACT_SLUG_PLUS_SIG_DUPES;1;6;id=351388463332 path=nimbus-33-nova brand=Nimbus model=Nimbus 33 Nova year=None status=None act=yes ||| id=351443293420 path=nimbus-33-nova-2 brand=Nimbus model=Nimbus 33 Nova year=2003 status=None act=yes ||| id=351390253245 path=nimbus-nova-300r brand=Nimbus model=Nimbus Nova 300R year=2003 status=None act=yes ||| id=351484720356 path=nimbus-nova-33 brand=Nimbus model=Nimbus Nova 33 year=2003 status=None act=yes ||| id=351481095403 path=nimbus-33-nova-3 brand=Nimbus model=Nimbus 33 Nova year=2003 status=None act=yes ||| id=351481058537 path=nimbus-nova-33-2 brand=Nimbus model=Nimbus Nova 33 year=2003 status=None act=yes ||| id=351443185871 path=nimbus-nova-230r brand=Nimbus model=Nova 230R year=2003 status=None act=yes
;Windy 26 Kharma;windy-26-kharma;Windy;26 Kharma;2012;26 fot;sold;2020-09-01;EXACT_SLUG_MATCH;1;0;id=351414280404 path=windy-26-kharma brand=Windy model=Windy 26 Kharma year=None status=None act=yes
;Beneteau MC6S;beneteau-mc6s;Beneteau;MC6S;2017;60 fot;;2023-07-28;MULTIPLE_SIG_CANDIDATES;0;2;id=351482889406 path=22020-beneteau-mc6s brand=Beneteau model=MC6S year=2017 status=None act=yes ||| id=351484704999 path=beneteau-swift-trawler-44 brand=Beneteau model=Swift Trawler 44 year=2017 status=None act=yes
;Chris-Craft Carina 21;chris-craft-carina-21;Chris-Craft;Carina 21;2014;21 fot;sold;2021-05-03;NO_MATCH_IN_HUBSPOT;0;0;
;Grand Banks Eastbay 45SX;grand-banks-eastbay-45sx;Grand Banks;Eastbay 45SX;2009;45 fot;sold;2025-04-25;SIGNATURE_MATCH_ONLY;0;1;id=351475307758 path=23037-grand-banks-eastbay-45-sx brand=Grand Banks model=Eastbay 45 SX year=2009 status=None act=yes
X;Nimbus 35 Nova HT;nimbus-35-nova-ht;Nimbus;35 Nova HT;2005;38 fot;sold;2019-10-24;EXACT_SLUG_PLUS_SIG_DUPES;1;5;id=351443213551 path=nimbus-35-nova-ht brand=Nimbus model=Nimbus 35 Nova HT year=None status=None act=yes ||| id=351459866835 path=nimbus-300r-9 brand=Nimbus model=300R year=2005 status=sold act=yes ||| id=351456244960 path=24028-nimbus-380-commander brand=Nimbus model=380 Commander year=2005 status=None act=yes ||| id=351443229917 path=nimbus-nova-230-r brand=Nimbus model=230 R year=2005 status=None act=yes ||| id=351479077112 path=nimbus-380-commander-2 brand=Nimbus model=380 Commander year=2005 status=None act=yes ||| id=351443293403 path=nimbus-230r-4 brand=Nimbus model=230R year=2005 status=None act=yes
;Cormate T-27;cormate-t-27;Cormate;T-27;2019;28 fot;sold;2020-05-10;EXACT_SLUG_MATCH;1;0;id=351414280413 path=cormate-t-27 brand=Cormate model=Cormate T-27 year=None status=None act=yes
;Capelli 900 WA;capelli-900-wa;Capelli;Tempest 900 WA;2017;30 fot;sold;2025-08-19;SIGNATURE_MATCH_ONLY;0;1;id=351479077107 path=capelli-tempest-900-wa brand=Capelli model=Tempest 900 WA year=2017 status=sold act=yes
;Targa 27.1;targa-27.1;Targa;27.1;2017;29 fot;sold;2020-01-24;NO_MATCH_IN_HUBSPOT;0;0;
X;Hydrolift X-32S R;hydrolift-x-32s-r;Hydrolift;X-32S-R;2021;32 fot;;2025-09-12;EXACT_SLUG_PLUS_SIG_DUPES;1;2;id=351446935769 path=hydrolift-x-32s-r brand=Hydrolift model=X-32S r  year=2021 status=for-sale act=yes ||| id=351388463344 path=hydrolift-x-26-s-2 brand=Hydrolift model=Hydrolift X-26 S year=2021 status=None act=yes ||| id=351443214551 path=hydrolift-x26-s brand=Hydrolift model=Hydrolift X26 S year=2021 status=None act=yes
;Goldfish 28 Tender;goldfish-28-tender;Goldfish;28 Tender;2014;30 fot;sold;2021-04-06;EXACT_SLUG_MATCH;1;0;id=351443141853 path=goldfish-28-tender brand=Goldfish model=Goldfish 28 Tender year=None status=None act=yes
;Azimut Atlantis 40 HT;azimut-atlantis-40-ht;Azimut Atlantis;40 HT;2011;41 fot;sold;2023-07-15;NO_MATCH_IN_HUBSPOT;0;0;
x;Timeless Nordic;timeless-34-nordic;Timeless;Nordic;2018;36 fot;;2025-05-07;NO_MATCH_IN_HUBSPOT;0;0;
X;Beneteau Oceanis 37;beneteau-oceanis-37;Beneteau;Oceanis 37;2012;37 fot;sold;2025-10-30;EXACT_SLUG_PLUS_SIG_DUPES;1;3;id=351484720341 path=beneteau-oceanis-37 brand=Beneteau model=Beneteau Oceanis 37 year=2010 status=None act=yes ||| id=351481028809 path=22026-beneteau-first-27-seascape brand=Beneteau model=First Seascape year=2012 status=None act=yes ||| id=351456244965 path=beneteau-38-gt-2 brand=Beneteau model=Beneteau 38 GT year=2012 status=None act=yes ||| id=351443214553 path=beneteau-oceanic-37 brand=Beneteau model=Oceanic year=2012 status=None act=yes
;Goldfish 50 Ocean;goldfish-50-ocean;Goldfish;50 Ocean;2013;50 fot;sold;2025-02-25;EXACT_SLUG_MATCH;1;0;id=351479119072 path=goldfish-50-ocean brand=Goldfish model=50 Ocean year=2013 status=None act=yes
;Nimbus 250 R;nimbus-250-r;Nimbus;250R;2004;25 fot;sold;2019-05-15;NO_MATCH_IN_HUBSPOT;0;0;
X;Goldfish 38 SuperSport;goldfish-38-supersport;Goldfish;38 Supersport;2016;39;sold;2024-08-30;EXACT_SLUG_PLUS_SIG_DUPES;1;2;id=351414280426 path=goldfish-38-supersport brand=Goldfish model=38 supersport year=2018 status=None act=yes ||| id=351481042121 path=24011-goldfish-38-supersport brand=Goldfish model=38 SuperSport year=2016 status=None act=yes ||| id=394404938966 path=None brand=Goldfish model=None year=2016 status=None act=None
X;Fairline Targa 37;fairline-targa-37;Fairline;Targa 37;1999;37 fot;sold;2025-10-02;EXACT_SLUG_PLUS_SIG_DUPES;1;5;id=351480934644 path=fairline-targa-37 brand=Fairline model=Fairline Targa 37 year=1997 status=None act=yes ||| id=351481042119 path=24007-fairline-targa-43 brand=Fairline model=Targa year=1999 status=None act=yes ||| id=351481095400 path=fairline-37-targa brand=Fairline model=Targa year=1999 status=sold act=yes ||| id=351446935768 path=fairline-phantom-42 brand=Fairline model=Fairline Phantom 42 year=1999 status=None act=yes ||| id=351443263690 path=fairline-targa-34 brand=Fairline model=Fairline Targa 34 year=1999 status=None act=yes ||| id=364299933938 path=None brand=Fairline model=None year=1999 status=None act=no
;Chris-Craft 28 Corsair;chris-craft-28-corsair;Chris-Craft;28 Corsair;2006;30 fot;sold;2019-06-05;EXACT_SLUG_MATCH;1;0;id=351443214525 path=chris-craft-28-corsair brand=Chris Craft model=Chris-Craft 28 Corsair year=None status=None act=yes
;Carver 396 Aft Cabin;carver-396-aft-cabin;Carver;396 Aft Cabin;2001;41 fot;sold;2020-07-15;EXACT_SLUG_MATCH;1;0;id=351482888420 path=carver-396-aft-cabin brand= model=Carver 396 Aft Cabin year=None status=None act=yes
;Scand Baltic 29;scand-baltic-29;Scand;Baltic 29;1994;29 fot;sold;2020-08-07;EXACT_SLUG_MATCH;1;0;id=351414280421 path=scand-baltic-29 brand=Scand model=Scand Baltic 29 year=None status=None act=yes
;Nimbus W9 - 2020;nimbus-w9---2020;Nimbus;W9;2020;31 fot;;2025-10-02;MULTIPLE_SIG_CANDIDATES;0;3;id=351481042113 path=nimbus-w9-t-top brand=Nimbus model=29 year=2020 status=for-sale act=yes ||| id=351443201238 path=nimbus-w9 brand=Nimbus model=W9 year=2020 status=for-sale act=yes ||| id=351443281091 path=nimbus-c9-2 brand=Nimbus model=C9 year=2020 status=None act=yes
X;Axopar 37 Cabin;axopar-37-cabin;Axopar;37 Cabin;2018;37 fot;sold;2020-02-03;EXACT_SLUG_PLUS_SIG_DUPES;1;6;id=351419699406 path=axopar-37-cabin brand=Axopar model=37 year=2019 status=None act=yes ||| id=351484720343 path=axopar-28-cabin-3 brand=Axopar model=Axopar 28 Cabin year=2018 status=None act=yes ||| id=351446910169 path=axopar-28-open-4 brand=Axopar model=Axopar 28 Open year=2018 status=None act=yes ||| id=351443089652 path=axopar-37-cross-cabin-2 brand=Axopar model=Axopar 37 Cross Cabin year=2018 status=None act=yes ||| id=351481058532 path=axopar-28-ac-2 brand=Axopar model=Axopar 28 AC year=2018 status=None act=yes ||| id=351482911931 path=axopar-28-ac-3 brand=Axopar model=Axopar 28 AC year=2018 status=None act=yes ||| id=351443280121 path=axopar-37-sun-top brand=Axopar model=Axopar 37 Sun Top  year=2018 status=for-sale act=yes
;Brig Eagle 8 - 2022;brig-eagle-8---2022;Brig;Eagle 8;2022;26 fot;;2025-08-14;MULTIPLE_SIG_CANDIDATES;0;3;id=351484705012 path=brig-eagle-8-2022 brand=BRIG model=Eagle 8 year=2022 status=None act=yes ||| id=351443229932 path=brig-eagle-8 brand=BRIG model=BRIG Eagle 8 year=2022 status=None act=yes ||| id=351445109984 path=brig-eagle-8-2 brand=BRIG model=Brig Eagle 8  year=2022 status=None act=yes
X;Ibiza 811 Touring;ibiza-811-touring;Ibiza;811 Touring;2017;27,2 fot;sold;2026-01-05;EXACT_SLUG_PLUS_SIG_DUPES;1;4;id=351388463341 path=ibiza-811-touring brand=Ibiza model=Ibiza 811 Touring year=2018 status=None act=yes ||| id=351388463347 path=ibiza-811-toruing brand=Ibiza model=Ibiza 811 Toruing year=2017 status=None act=yes ||| id=351484720340 path=ibiza-811t brand=Ibiza model=Ibiza 811T year=2017 status=None act=yes ||| id=350048534724 path=ibiza-760-t brand=Ibiza model=Ibiza 760 T year=2017 status=None act=yes ||| id=351443263687 path=ibiza-811-2 brand=Ibiza model=811 Touring year=2017 status=sold act=yes
X;Bavaria S36 HT;bavaria-s36-ht;Bavaria;S36 HT;2020;38 fot;;2025-05-19;EXACT_SLUG_PLUS_SIG_DUPES;1;2;id=351456244953 path=bavaria-s36-ht brand=Bavaria model=S36 HT year=2020 status=None act=yes ||| id=410981849305 path=bavaria-cruiser-34 brand=Bavaria model=Bavaria Cruiser 34 year=2020 status=None act=yes ||| id=350048534758 path=bavaria-s36-ht-2 brand=Bavaria model=Bavaria S36 HT year=2020 status=None act=yes
x;Anker & Jensen 8mR 1914 Carmen IV;anker-%26-jensen-8mr-1914-carmen-iv;Anker & Jensen;8mR;1914;43 fot;;2021-12-28;NO_MATCH_IN_HUBSPOT;0;0;
;Goldfish 28 Tender #057;goldfish-28-tender-%23057;Goldfish;28 Tender;2022;28 fot;sold;2025-10-30;MULTIPLE_SIG_CANDIDATES;0;6;id=351481042122 path=goldfish-30-sport brand=Goldfish model=30 Sport year=2022 status=None act=yes ||| id=351481042124 path=goldfish-30-sport-2 brand=Goldfish model=30 Sport year=2022 status=None act=yes ||| id=351456244951 path=goldfish-28-tender-4 brand=Goldfish model=28 Tender year=2022 status=for-sale act=yes ||| id=351419699407 path=goldfish-28-tender-064 brand=Goldfish model=28 Tender year=2022 status=None act=yes ||| id=351443201246 path=goldfish-x9-expedition brand=Goldfish model=Goldfish X9 Expedition  year=2022 status=None act=yes ||| id=351445109976 path=goldfish-28-tender-8 brand=Goldfish model=28 Tender year=2022 status=None act=yes
;Nimbus 280 Coupé;nimbus-280-coup%C3%A9;Nimbus;280 Coupé;2004;28 fot;sold;2020-05-10;NO_MATCH_IN_HUBSPOT;0;0;
;Windy 44 Chinook;windy-44-chinook;Windy;44 Chinook;2010;44 fot;sold;2019-07-16;MULTIPLE_SIG_CANDIDATES;0;2;id=351388463345 path=windy-52-xanthos brand=Windy model=Windy 52 Xanthos year=2010 status=None act=yes ||| id=351446910155 path=windy-ghibli-stabekk brand=Windy model=Windy Ghibli Stabekk year=2010 status=None act=yes
;Axopar 28 Open;axopar-28-open;Axopar;28 Open;2017;29 fot;sold;2024-01-26;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=351443310785 path=axopar-28-open brand=Axopar model=Axopar 28 Open year=None status=None act=yes ||| id=351481028819 path=axopar-28-open-2017 brand=Axopar model=28 Open year=2017 status=None act=yes
;Bostrøm 31 MkI;bostr%C3%B8m-31-mki;Bostrøm;31 MkI;1978;31 fot;sold;2021-09-03;NO_MATCH_IN_HUBSPOT;0;0;
;Windy 35 Khamsin 2008 D6-370;windy-35-khamsin-2008-d6-370;Windy;35 Khamsin;2008;35 fot;sold;2025-08-08;MULTIPLE_SIG_CANDIDATES;0;10;id=199292475598 path=23015-windy-37-grand-mistral brand=Windy model=Grand Mistral 37 year=2008 status=for-sale act=no ||| id=351443280115 path=windy-grand-mistral-37 brand=Windy model=Grand Mistral 37 year=2008 status=None act=yes ||| id=351481042118 path=windy-28-ghibli-2 brand=Windy model=Ghibli year=2008 status=None act=yes ||| id=351443214533 path=windy-35-khamsin brand=Windy model=35 Khamsin year=2008 status=None act=yes ||| id=351390253243 path=windy-khamsin-35 brand=Windy model=Windy Khamsin 35 year=2008 status=None act=yes ||| id=351443214556 path=windy-khamsin-2 brand=Windy model=Windy Khamsin1 year=2008 status=None act=yes ||| id=351446910150 path=windy-ghibli-eydehavn brand=Windy model=Windy Ghibli Eydehavn year=2008 status=None act=yes ||| id=351446910185 path=windy-ghibli-2008 brand=Windy model=Windy Ghibli 2008 year=2008 status=None act=yes ||| id=351443090624 path=windy-grand-tornado brand=Windy model=Windy Grand Tornado year=2008 status=None act=yes ||| id=351481095395 path=windy-grand-mistral-37-2 brand=Windy model=Windy Grand Mistral 37 year=2008 status=None act=yes
;Nimbus 230R;nimbus-230r;Nimbus;230 R;2012;23 fot;sold;2025-08-28;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=351388463331 path=nimbus-230r brand=Nimbus model=Nimbus 230R year=None status=None act=yes ||| id=351388463342 path=nimbus-nova-230 brand=Nimbus model=Nimbus Nova 230 year=2012 status=None act=yes
X;Jeanneau Sun Odyssey 36i;jeanneau-sun-odyssey-36i;Jeanneau;Sun Odyssey 36i;2008;36 fot;sold;2025-10-02;EXACT_SLUG_PLUS_SIG_DUPES;1;5;id=351484733677 path=jeanneau-sun-odyssey-36i brand=Jeanneau model=Sun Odyssey 36i year=None status=None act=yes ||| id=351484705015 path=jeanneau-cap-camarat-925-wa brand=Jeanneau model=Cap Camarat 925 WA year=2008 status=None act=yes ||| id=351443293413 path=jeanneau-sun-oddesy-50ds brand=Jeanneau model=Jeanneau Sun Oddesy 50DS year=2008 status=None act=yes ||| id=351484720345 path=jeanneau-sun-oddesy-50ds-2 brand=Jeanneau model=Jeanneau Sun Oddesy 50DS year=2008 status=None act=yes ||| id=351446910167 path=jeanneau-36i-2 brand=Jeanneau model=Sun Odyssey 36i year=2008 status=None act=yes ||| id=351443280119 path=jeanneau-36i-2008 brand=Jeanneau model=36i year=2008 status=None act=yes
X;Nimbus T9;nimbus-t9;Nimbus;T9;2019;31 fot;;2025-10-02;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=351484705016 path=nimbus-t9 brand=Nimbus model=T9 year=2019 status=None act=yes ||| id=351481095392 path=nimbus-c9 brand=Nimbus model=Nimbus C9 year=2019 status=None act=yes
;Cormate 35 Chase;cormate-35-chase;Cormate;35 Chase;2023;35 fot;sold;2025-09-08;MULTIPLE_SIG_CANDIDATES;0;3;id=351484705008 path=cormate-chase-35 brand=Cormate model=Chase 35 year=2023 status=None act=yes ||| id=351481058530 path=cormate-su-23-6 brand=Cormate model=Cormate SU 23 year=2023 status=None act=yes ||| id=351419699403 path=cormate-su23 brand=Cormate model=Cormate SU23 year=2023 status=None act=yes
x;Baltic Kragerø 34;baltic-krager%C3%B8-34;Baltic Marine;Kragerø Trebåtbyggeri 34;2002;34 fot;;2025-08-08;NO_MATCH_IN_HUBSPOT;0;0;
;Grandezza 31 OC;grandezza-31-oc;Grandezza;31 OC;2011;31 fot;sold;2025-10-02;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=350048534726 path=grandezza-31-oc brand=Grandezza model=OC year=2011 status=sold act=yes ||| id=351480981731 path=grandezza-31-oc-3 brand=Grandezza model=Grandezza 31 OC  year=2011 status=None act=yes
;Nimbus 250R MKII;nimbus-250r-mkii;Nimbus;250R MKII;2010;25 fot;sold;2020-02-03;EXACT_SLUG_MATCH;1;0;id=351443141857 path=nimbus-250r-mkii brand=Nimbus model=Nimbus 250R MKII year=None status=None act=yes
;Seaside 23;seaside-23;Seaside;23;2023;23 fot;sold;2025-07-04;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=351417864418 path=seaside-23 brand=Seaside model=Seaside 23 year=2023 status=None act=yes ||| id=351482911943 path=seaside-23-2 brand=Seaside model=SeaSide 23 year=2023 status=None act=yes
;Lagoon 52 F;lagoon-52-f;Lagoon;52F;2018;52 fot;;2025-10-13;MULTIPLE_SIG_CANDIDATES;0;2;id=351414280424 path=lagoon-52f brand=Lagoon model=52 Fly year=2018 status=for-sale act=yes ||| id=351419699401 path=lagoon-42 brand=Lagoon model=42 year=2018 status=None act=yes
;Nimbus 33 Nova;nimbus-33-nova;Nimbus;33 Nova;2000;33 fot;sold;2020-02-03;EXACT_SLUG_MATCH;1;0;id=351388463332 path=nimbus-33-nova brand=Nimbus model=Nimbus 33 Nova year=None status=None act=yes
;Goldfish 30 Sport #16;goldfish-30-sport-%2316;Goldfish;30 Sport;2021;32 fot;sold;2025-04-25;MULTIPLE_SIG_CANDIDATES;0;10;id=255461728478 path=25078-Goldfish-28-Bullet brand=Goldfish model=28 Bullet year=2021 status=for-sale act=no ||| id=351443310804 path=goldfish-23-tender-3 brand=Goldfish model=23 Tender year=2021 status=for-sale act=yes ||| id=351482888438 path=23004-goldfish-28-tender brand=Goldfish model=28 Tender year=2021 status=None act=yes ||| id=351475307751 path=23035-goldfish-30-sport brand=Goldfish model=30 Sport year=2021 status=None act=yes ||| id=351456244949 path=goldfish-30-sport-09 brand=Goldfish model=Goldfish 30 Sport #09 year=2021 status=None act=yes ||| id=351475307763 path=goldfish-30-sport-walstad brand=Goldfish model=30 Sport year=2021 status=None act=yes ||| id=351479078076 path=goldfish-28-tender-050 brand=Goldfish model=28 Tender year=2021 status=None act=yes ||| id=351482911944 path=goldfish-30-sport-3 brand=Goldfish model=30 Sport year=2021 status=sold act=no ||| id=351443263688 path=goldfish-28-bullet-024 brand=Goldfish model=28 Bullet year=2021 status=for-sale act=yes ||| id=415039514870 path=None brand=Goldfish model=30 Sport year=2021 status=None act=None
;Jeanneau SO 49 DS;jeanneau-so-49-ds;Jeanneau;Sun Odyssey 49 DS;2005;49 fot;sold;2020-02-06;SIGNATURE_MATCH_ONLY;0;1;id=351390253251 path=jeanneau-cap-camerat-925-wa brand=Jeanneau model=Jeanneau Cap Camerat 925 WA year=2005 status=None act=yes
;Chris-Craft 25 Corsair;chris-craft-25-corsair;Chris-Craft;25 Corsair;2004;27 fot;sold;2020-05-12;EXACT_SLUG_MATCH;1;0;id=351388463314 path=chris-craft-25-corsair brand=Chris Craft model=Chris-Craft 25 Corsair year=None status=None act=yes
X;Askeladden C80 Cruiser;askeladden-c80-cruiser;Askeladden;C80 Cruiser;2021;26 fot;sold;2024-06-06;EXACT_SLUG_PLUS_SIG_DUPES;1;6;id=351481028825 path=askeladden-c80-cruiser brand=Askeladden model=C80 Cruiser year=2021 status=None act=yes ||| id=351443280105 path=askeladden-c83 brand=Askeladden model=Askeladden C83 year=2021 status=None act=yes ||| id=351475308733 path=askeladden-c83-2 brand=Askeladden model=Askeladden c83 year=2021 status=None act=yes ||| id=351479077109 path=askeladden-c80-2 brand=Askeladden model=C80 Cruiser year=2021 status=None act=yes ||| id=351443185880 path=askeladden-c80-cruiser-2 brand=Askeladden model=Askeladden C80 Cruiser  year=2021 status=None act=yes ||| id=351443201240 path=askeladden-c83-cruiser-tsi-2 brand=Askeladden model=Askeladden C83 Cruiser TSI year=2021 status=None act=yes ||| id=379030791369 path=None brand=Askeladden model=None year=2021 status=None act=None
X;Nimbus 30s;nimbus-30s;Nimbus;30S;2008;30 fot;sold;2019-05-15;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=351459866845 path=nimbus-30s brand=Nimbus model=Nimbus 30S year=None status=None act=yes ||| id=351414280433 path=nimbus-35-nova-2 brand=Nimbus model=Nimbus 35 Nova year=2008 status=None act=yes
X;Axopar 28 Open;axopar-28-open;Axopar;28 Open;2019;28 fot;sold;2020-06-05;EXACT_SLUG_PLUS_SIG_DUPES;1;5;id=351443310785 path=axopar-28-open brand=Axopar model=Axopar 28 Open year=None status=None act=yes ||| id=351479119062 path=axopar-28-open-2 brand=Axopar model=28 Open year=2019 status=None act=yes ||| id=351388463336 path=axopar-37-dobbel-cabin brand=Axopar model=Axopar 37 Dobbel Cabin year=2019 status=None act=yes ||| id=351388463338 path=axopar-t-28 brand=Axopar model=Axopar T 28 year=2019 status=None act=yes ||| id=351446910166 path=axopar-t28 brand=Axopar model=T28 year=2019 status=None act=yes ||| id=351419699406 path=axopar-37-cabin brand=Axopar model=37 year=2019 status=None act=yes
;Modesty 33 SC;modesty-33-sc;Modesty;33 SportsCruiser;2012;33 fot;sold;2021-11-10;NO_MATCH_IN_HUBSPOT;0;0;
;Goldfish 23 Tender 2017;goldfish-23-tender-2017;Goldfish;23 Tender;2017;25 fot;sold;2020-09-12;MULTIPLE_SIG_CANDIDATES;0;4;id=351479119075 path=goldfish-28-tender-5 brand=Goldfish model=28 Tender year=2017 status=None act=yes ||| id=351419698418 path=goldfish-28-tender-037 brand=Goldfish model=28 Tender year=2017 status=None act=yes ||| id=351414280434 path=goldfish-28-tender-2017 brand=Goldfish model=28 Tender year=2017 status=None act=yes ||| id=351446935766 path=goldfish-29-sport-6 brand=Goldfish model=Goldfish 29 Sport year=2017 status=None act=yes
;Arctic Blue 27 mkII;arctic-blue-27-mkii;Arctic Blue;27 mkII;2006;28 fot;sold;2020-10-22;NO_MATCH_IN_HUBSPOT;0;0;
;Colin Archer 40;colin-archer-40;Colin Archer;40;1981;40 fot;sold;2025-12-17;EXACT_SLUG_MATCH;1;0;id=351443229923 path=colin-archer-40 brand=Colin Archer model=Colin Archer 40 year=None status=None act=yes
X;Nimbus 250R;nimbus-250r;Nimbus;250R;2005;25 fot;sold;2020-06-26;EXACT_SLUG_PLUS_SIG_DUPES;1;5;id=351443213557 path=nimbus-250r brand=Nimbus model=Nimbus 250R year=None status=None act=yes ||| id=351459866835 path=nimbus-300r-9 brand=Nimbus model=300R year=2005 status=sold act=yes ||| id=351456244960 path=24028-nimbus-380-commander brand=Nimbus model=380 Commander year=2005 status=None act=yes ||| id=351443229917 path=nimbus-nova-230-r brand=Nimbus model=230 R year=2005 status=None act=yes ||| id=351479077112 path=nimbus-380-commander-2 brand=Nimbus model=380 Commander year=2005 status=None act=yes ||| id=351443293403 path=nimbus-230r-4 brand=Nimbus model=230R year=2005 status=None act=yes
;Nordkapp 760 Noblesse;nordkapp-760-noblesse;Nordkapp;760 Noblesse;2011;25 fot;sold;2021-04-16;SIGNATURE_MATCH_ONLY;0;1;id=426401345737 path=None brand=Nordkapp model=Enduro 600 year=2011 status=new-arrival act=None
X;Princess 25M;princess-25m;Princess;25M;2003;84 fot;sold;2021-05-03;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=351482888418 path=princess-25m brand=Princess model=Princess 25m year=None status=None act=yes ||| id=351361855730 path=princess-v42 brand=Princess model=Princess V42 year=2003 status=None act=yes
;Beneteau 41 Swift Trawler Sedan;beneteau-41-swift-trawler-sedan;Beneteau;41 Swift Trawler Sedan;2021;41 fot;;2025-09-12;MULTIPLE_SIG_CANDIDATES;0;2;id=351443171573 path=beneteau-41-sedan brand=Beneteau model=41 Sedan year=2021 status=None act=yes ||| id=351443262698 path=beneteau-oceanis-511 brand=Beneteau model=Oceanis 51,1 year=2021 status=None act=yes
;Quicksilver 905 Pilothouse;quicksilver-905-pilothouse;Quicksilver;905 Pilothouse;2016;29 fot;sold;2022-01-24;NO_MATCH_IN_HUBSPOT;0;0;
;Archambault A 31;archambault-a-31;Archambault;A 31;2010;31 fot;sold;2020-06-26;NO_MATCH_IN_HUBSPOT;0;0;
;Seabreacher Z;seabreacher-z;Seabreacher;Z;2018;17 fot;sold;2020-09-01;NO_MATCH_IN_HUBSPOT;0;0;
X;Sandvik 945;sandvik-945;Sandvik;945;2012;34 fot;sold;2025-07-23;EXACT_SLUG_PLUS_SIG_DUPES;1;1;id=351482888434 path=sandvik-945 brand=Sandvik model=Sandvik 945 year=None status=None act=yes ||| id=351443171557 path=sandvik-945-2 brand=Sandvik model=945 year=2012 status=None act=yes
X;Goldfish 30 Sport #002;goldfish-30-sport;Goldfish;30 Sport;2021;30 fot;sold;2025-09-08;EXACT_SLUG_PLUS_SIG_DUPES;1;10;id=351481042122 path=goldfish-30-sport brand=Goldfish model=30 Sport year=2022 status=None act=yes ||| id=255461728478 path=25078-Goldfish-28-Bullet brand=Goldfish model=28 Bullet year=2021 status=for-sale act=no ||| id=351443310804 path=goldfish-23-tender-3 brand=Goldfish model=23 Tender year=2021 status=for-sale act=yes ||| id=351482888438 path=23004-goldfish-28-tender brand=Goldfish model=28 Tender year=2021 status=None act=yes ||| id=351475307751 path=23035-goldfish-30-sport brand=Goldfish model=30 Sport year=2021 status=None act=yes ||| id=351456244949 path=goldfish-30-sport-09 brand=Goldfish model=Goldfish 30 Sport #09 year=2021 status=None act=yes ||| id=351475307763 path=goldfish-30-sport-walstad brand=Goldfish model=30 Sport year=2021 status=None act=yes ||| id=351479078076 path=goldfish-28-tender-050 brand=Goldfish model=28 Tender year=2021 status=None act=yes ||| id=351482911944 path=goldfish-30-sport-3 brand=Goldfish model=30 Sport year=2021 status=sold act=no ||| id=351443263688 path=goldfish-28-bullet-024 brand=Goldfish model=28 Bullet year=2021 status=for-sale act=yes ||| id=415039514870 path=None brand=Goldfish model=30 Sport year=2021 status=None act=None
;Axopar 37;axopar-37-;Axopar;37;2018;37 fot;sold;2020-02-03;MULTIPLE_SIG_CANDIDATES;0;6;id=351484720343 path=axopar-28-cabin-3 brand=Axopar model=Axopar 28 Cabin year=2018 status=None act=yes ||| id=351446910169 path=axopar-28-open-4 brand=Axopar model=Axopar 28 Open year=2018 status=None act=yes ||| id=351443089652 path=axopar-37-cross-cabin-2 brand=Axopar model=Axopar 37 Cross Cabin year=2018 status=None act=yes ||| id=351481058532 path=axopar-28-ac-2 brand=Axopar model=Axopar 28 AC year=2018 status=None act=yes ||| id=351482911931 path=axopar-28-ac-3 brand=Axopar model=Axopar 28 AC year=2018 status=None act=yes ||| id=351443280121 path=axopar-37-sun-top brand=Axopar model=Axopar 37 Sun Top  year=2018 status=for-sale act=yes
X;Marex 360 CC;marex-360-cc;Marex;360 CC;2021;36 fot;sold;2024-08-30;EXACT_SLUG_PLUS_SIG_DUPES;1;3;id=350048534723 path=marex-360-cc brand=Marex model=Marex 360 CC year=2021 status=None act=yes ||| id=351443141848 path=marex-360cc brand=Marex model=Marex 360CC year=2021 status=None act=yes ||| id=351443171562 path=marex-310-sun-cruiser brand=Marex model=310 Sun Cruiser year=2021 status=None act=yes ||| id=351414280439 path=marex-310-sc brand=Marex model=Marex 310 SC year=2021 status=None act=yes
;Beneteau Swift Trawler 34;beneteau-swift-trawler-34;Beneteau;Swift Trawler 34;2011;34 fot;sold;2020-02-03;MULTIPLE_SIG_CANDIDATES;0;2;id=351443214535 path=beneteau-monte-carlo-42 brand=Beneteau model=Beneteau Monte Carlo 42 year=2011 status=None act=yes ||| id=351443281090 path=beneteau-swift-trawler brand=Beneteau model=Swift Trawler 34 year=2011 status=None act=yes
