wix-to-hubspot-match-report
Keep;wix_title;wix_url;wix_merke;wix_modell;wix_year;wix_length_ft;wix_sold;wix_updated;match_status;slug_matches;signature_matches;match_details
;Vandutch 40 Open - 2008;vandutch-40-open---2008;Vandutch;40 Open;2008;40 fot;sold;2021-11-10;NO_MATCH_IN_HUBSPOT;0;0;
X;Marex 310 Sun Cruiser;marex-310-sun-cruiser;Marex;310 Sun Cruiser;2021;31 fot;sold;2024-01-26;EXACT_SLUG_PLUS_SIG_DUPES;1;3;id=351443171562 path=marex-310-sun-cruiser brand=Marex model=310 Sun Cruiser year=2021 status=None act=yes ||| id=351443141848 path=marex-360cc brand=Marex model=Marex 360CC year=2021 status=None act=yes ||| id=351414280439 path=marex-310-sc brand=Marex model=Marex 310 SC year=2021 status=None act=yes ||| id=350048534723 path=marex-360-cc brand=Marex model=Marex 360 CC year=2021 status=None act=yes
;Fairline Phantom 48;fairline-phantom-48;Fairline;Phantom 48;2007;48 fot;sold;2019-05-15;EXACT_SLUG_PLUS_SIG_DUPES;1;2;id=351459866833 path=fairline-phantom-48 brand=Fairline model=Fairline Phantom 48 year=None status=None act=yes ||| id=351390253246 path=fairline-phantom-48-2007 brand=Fairline model=Fairline Phantom 48 2007 year=2007 status=None act=yes ||| id=351443214559 path=fairline-targa-47-gt brand=Fairline model=Fairline Targa 47 GT year=2007 status=None act=yes
X;Jeanneau Cap Camarat 925 WA;jeanneau-cap-camarat-925-wa;Jeanneau;Cap Camarat 925 WA;2008;31 fot;;2025-10-02;EXACT_SLUG_PLUS_SIG_DUPES;1;4;id=351484705015 path=jeanneau-cap-camarat-925-wa brand=Jeanneau model=Cap Camarat 925 WA year=2008 status=None act=yes ||| id=351443293413 path=jeanneau-sun-oddesy-50ds brand=Jeanneau model=Jeanneau Sun Oddesy 50DS year=2008 status=None act=yes ||| id=351484720345 path=jeanneau-sun-oddesy-50ds-2 brand=Jeanneau model=Jeanneau Sun Oddesy 50DS year=2008 status=None act=yes ||| id=351446910167 path=jeanneau-36i-2 brand=Jeanneau model=Sun Odyssey 36i year=2008 status=None act=yes ||| id=351443280119 path=jeanneau-36i-2008 brand=Jeanneau model=36i year=2008 status=None act=yes
;RYCK 280 m/ Mercury Verado 350HK;ryck-280-m%2F-mercury-verado-350hk;Ryck;280;2023;28;sold;2025-06-11;SIGNATURE_MATCH_ONLY;0;1;id=351484705014 path=ryck-280 brand=Ryck model=280 year=2023 status=None act=yes
;Grand Banks 47 Heritage EU;grand-banks-47-heritage-eu;Grand Banks;47 Heritage EU;2008;47 fot;sold;2023-04-16;NO_MATCH_IN_HUBSPOT;0;0;
;Goldfish 29 Sport - 2016;goldfish-29-sport---2016;Goldfish;29 Sport;2016;30 fot;sold;2021-05-18;MULTIPLE_SIG_CANDIDATES;0;2;id=351481042121 path=24011-goldfish-38-supersport brand=Goldfish model=38 SuperSport year=2016 status=None act=yes ||| id=394404938966 path=None brand=Goldfish model=None year=2016 status=None act=None
;Goldfish 29 Sport - 2016;goldfish-29-sport---2016;Goldfish;29 Sport;2016;31 fot;sold;2021-11-10;MULTIPLE_SIG_CANDIDATES;0;2;id=351481042121 path=24011-goldfish-38-supersport brand=Goldfish model=38 SuperSport year=2016 status=None act=yes ||| id=394404938966 path=None brand=Goldfish model=None year=2016 status=None act=None
X;Elan 37;elan-37;Elan;37;2006;37 fot;sold;2019-07-16;EXACT_SLUG_PLUS_SIG_DUPES;1;2;id=351414280409 path=elan-37 brand=Elan model=Elan 37 year=None status=None act=yes ||| id=351484720346 path=elan-37-2 brand=Elan model=37 year=2006 status=None act=yes ||| id=351446910173 path=elan-power-35-ht brand=Elan model=Power HT  year=2006 status=sold act=yes
;Marex 370 ACC;marex-370-acc;Marex;370 ACC;2014;37 fot;sold;2021-05-06;EXACT_SLUG_MATCH;1;0;id=351482888423 path=marex-370-acc brand=Marex model=Marex 370 ACC year=None status=None act=yes
