Scenario;Laveste kontantsaldo;Lavpunkt måned;Bunn før overtrekk (inkl. 200k kassekreditt);Kontantsaldo des 2028
Faktisk cash-timing (~14-24d) — planlagt ramp (3 ans.) + utbytte 850k;-1330300;apr 28;-1130300;523616
Faktisk — planlagt ramp, utbytte UTSATT;-480300;apr 28;-280300;1373616
Faktisk — 0 ansettelser + utbytte 850k;-244072;apr 28;-44072;583473
Faktisk — 0 ansettelser + utbytte utsatt;560142;apr 27;760142;1433473
TIL SAMMENLIGNING: konservativ 89d (rådgivers salgstid-antakelse) — planlagt + utbytte;-3933541;jun 28;-3733541;-333418
